,description,price,url
35,"Dell Latitude 5521 15.6"" Laptop i5-11500H 16GB 256GB SSD W10P N0G5V","$1,749.99 –",https://www.newegg.com/p/1TS-000A-0J8D0?Item=1TS-000A-0J8D0&Description=laptop&cm_re=laptop-_-1TS-000A-0J8D0-_-Product
36,"Dell Latitude 7420 14"" Laptop i7-1165G7 16GB 512GB SSD W10P 0H5CM","$1,884.99 –",https://www.newegg.com/p/1B4-0016-06FY6?Item=1B4-0016-06FY6&Description=laptop&cm_re=laptop-_-1B4-0016-06FY6-_-Product
37,"Dell Latitude 9420 14"" Laptop i7-1185G7 16GB 512GB SSD Titan Gray W10 Pro 6K0P5","$2,485.99 –",https://www.newegg.com/p/1TS-000A-0FTS3?Item=1TS-000A-0FTS3&Description=laptop&cm_re=laptop-_-1TS-000A-0FTS3-_-Product
38,"Dell Latitude 5420 14"" Laptop i7-1185 G7 16GB 256GB SSD Windows 10 183G2","$1,901.99 –",https://www.newegg.com/p/1B4-0016-061Y1?Item=1B4-0016-061Y1&Description=laptop&cm_re=laptop-_-1B4-0016-061Y1-_-Product
39,"Dell Latitude 3320 13.3"" Laptop i7-1165G7 8GB 256GB SSD Titan Gray W10 Pro CKFXF","$1,109.99 –",https://www.newegg.com/p/1TS-000A-0FTR4?Item=1TS-000A-0FTR4&Description=laptop&cm_re=laptop-_-1TS-000A-0FTR4-_-Product
40,"Dell Latitude 5420 14"" Laptop i5-1145 G7 16GB 512GB SSD Windows 10 2T9RC","$1,687.99 –",https://www.newegg.com/p/1B4-0016-061Z6?Item=1B4-0016-061Z6&Description=laptop&cm_re=laptop-_-1B4-0016-061Z6-_-Product
41,"Dell Latitude 5410 14"" Full HD Laptop i7-10610U 16GB 256GB SSD Windows 10 Pro","$1,770.99 –",https://www.newegg.com/p/1TS-000A-0ASA5?Item=1TS-000A-0ASA5&Description=laptop&cm_re=laptop-_-1TS-000A-0ASA5-_-Product
42,"Dell Latitude 3510 15.6"" Laptop i5-10210U 4GB 500GB HDD Windows 10 Pro",$728.99 –,https://www.newegg.com/p/1TS-000A-0AS87?Item=1TS-000A-0AS87&Description=laptop&cm_re=laptop-_-1TS-000A-0AS87-_-Product
43,"Dell Latitude 3301 13.3"" Laptop i3-8145U 4GB 128GB SSD W10 6955K",$646.99 –,https://www.newegg.com/p/2WC-0009-003Y6?Item=2WC-0009-003Y6&Description=laptop&cm_re=laptop-_-2WC-0009-003Y6-_-Product
44,"DELL Laptop Latitude 5420 RV85P Intel Core i7 11th Gen 1165G7 (2.80GHz) 8GB Memory 256 GB PCIe SSD Intel Iris Xe Graphics 14.0"" Windows 10 Pro 64-bit","$1,706.99 –",https://www.newegg.com/dell-latitude-5420-rv85p-mainstream/p/1B4-0016-06FE1?Item=1B4-0016-06FE1&Description=laptop&cm_re=laptop-_-1B4-0016-06FE1-_-Product
45,"DELL Laptop Latitude 7420 XVW8Y Intel Core i5 11th Gen 1145G7 (2.60GHz) 16GB Memory 256 GB PCIe SSD Intel Iris Xe Graphics 14.0"" Windows 10 Pro 64-bit","$1,722.99 –",https://www.newegg.com/dell-latitude-7420-xvw8y-mainstream/p/1B4-0016-061Y2?Item=1B4-0016-061Y2&Description=laptop&cm_re=laptop-_-1B4-0016-061Y2-_-Product
